Country_name,Gdp,Population,Year and Popuation
Iraq,50.25%,"40,222,493","[('2020', '40,222,493'), ('2019', '39,309,783'), ('2018', '38,433,600'), ('2017', '37,552,781'), ('2016', '36,610,632'), ('2015', '35,572,261'), ('2010', '29,741,976'), ('2005', '26,922,284'), ('2000', '23,497,585'), ('1995', '20,149,338'), ('1990', '17,419,113'), ('1985', '15,555,800'), ('1980', '13,653,354'), ('1975', '11,684,590'), ('1970', '9,917,983'), ('1965', '8,375,790'), ('1960', '7,289,760'), ('1955', '6,502,657'), ('1950', '5,719,192')]"
Azerbaijan,17.59%,"10,139,177","[('2020', '10,139,177'), ('2019', '10,047,718'), ('2018', '9,949,537'), ('2017', '9,845,320'), ('2016', '9,736,043'), ('2015', '9,622,745'), ('2010', '9,032,461'), ('2005', '8,538,605'), ('2000', '8,122,741'), ('1995', '7,775,424'), ('1990', '7,242,761'), ('1985', '6,666,447'), ('1980', '6,150,733'), ('1975', '5,674,133'), ('1970', '5,180,023'), ('1965', '4,592,609'), ('1960', '3,895,397'), ('1955', '3,329,387'), ('1950', '2,927,921')]"
Micronesia,18.41%,"115,023","[('2020', '115,023'), ('2019', '113,815'), ('2018', '112,640'), ('2017', '111,459'), ('2016', '110,215'), ('2015', '108,895'), ('2010', '102,911'), ('2005', '106,129'), ('2000', '107,402'), ('1995', '107,529'), ('1990', '96,301'), ('1985', '85,640'), ('1980', '72,930'), ('1975', '63,128'), ('1970', '61,417'), ('1965', '52,227'), ('1960', '44,514'), ('1955', '37,873'), ('1950', '32,001')]"
Estonia,7.61%,"1,326,535","[('2020', '1,326,535'), ('2019', '1,325,648'), ('2018', '1,322,920'), ('2017', '1,319,390'), ('2016', '1,316,510'), ('2015', '1,315,325'), ('2010', '1,332,101'), ('2005', '1,355,648'), ('2000', '1,399,112'), ('1995', '1,433,024'), ('1990', '1,565,246'), ('1985', '1,522,400'), ('1980', '1,474,439'), ('1975', '1,422,043'), ('1970', '1,360,202'), ('1965', '1,290,396'), ('1960', '1,216,819'), ('1955', '1,159,231'), ('1950', '1,100,995')]"
Tuvalu,21.81%,"11,792","[('2020', '11,792'), ('2019', '11,646'), ('2018', '11,508'), ('2017', '11,370'), ('2016', '11,225'), ('2015', '11,099'), ('2010', '10,530'), ('2005', '10,000'), ('2000', '9,394'), ('1995', '9,298'), ('1990', '8,913'), ('1985', '8,219'), ('1980', '7,637'), ('1975', '6,060'), ('1970', '5,735'), ('1965', '5,386'), ('1960', '5,323'), ('1955', '5,069'), ('1950', '4,673')]"
Paraguay,22.37%,"7,132,538","[('2020', '7,132,538'), ('2019', '7,044,636'), ('2018', '6,956,066'), ('2017', '6,867,061'), ('2016', '6,777,872'), ('2015', '6,688,746'), ('2010', '6,248,020'), ('2005', '5,824,096'), ('2000', '5,323,201'), ('1995', '4,776,843'), ('1990', '4,223,415'), ('1985', '3,676,210'), ('1980', '3,181,625'), ('1975', '2,791,241'), ('1970', '2,474,763'), ('1965', '2,172,306'), ('1960', '1,903,982'), ('1955', '1,673,665'), ('1950', '1,473,253')]"
Marshall Islands,23.37%,"59,190","[('2020', '59,190'), ('2019', '58,791'), ('2018', '58,413'), ('2017', '58,058'), ('2016', '57,735'), ('2015', '57,439'), ('2010', '56,366'), ('2005', '55,258'), ('2000', '50,753'), ('1995', '50,457'), ('1990', '47,271'), ('1985', '38,333'), ('1980', '30,576'), ('1975', '25,576'), ('1970', '20,395'), ('1965', '17,284'), ('1960', '14,662'), ('1955', '13,894'), ('1950', '13,001')]"
Kazakhstan,20.90%,"18,776,707","[('2020', '18,776,707'), ('2019', '18,551,427'), ('2018', '18,319,618'), ('2017', '18,080,019'), ('2016', '17,830,901'), ('2015', '17,572,016'), ('2010', '16,252,279'), ('2005', '15,402,807'), ('2000', '14,922,719'), ('1995', '15,839,363'), ('1990', '16,383,887'), ('1985', '15,665,595'), ('1980', '14,796,174'), ('1975', '14,050,226'), ('1970', '13,036,139'), ('1965', '11,841,920'), ('1960', '9,934,563'), ('1955', '7,932,521'), ('1950', '6,702,991')]"
Kiribati,23.48%,"119,449","[('2020', '119,449'), ('2019', '117,606'), ('2018', '115,847'), ('2017', '114,158'), ('2016', '112,524'), ('2015', '110,930'), ('2010', '102,927'), ('2005', '92,325'), ('2000', '84,396'), ('1995', '77,723'), ('1990', '72,400'), ('1985', '63,986'), ('1980', '59,301'), ('1975', '55,114'), ('1970', '51,151'), ('1965', '46,429'), ('1960', '41,202'), ('1955', '36,573'), ('1950', '33,048')]"
Saudi Arabia,23.71%,"34,813,871","[('2020', '34,813,871'), ('2019', '34,268,528'), ('2018', '33,702,756'), ('2017', '33,101,179'), ('2016', '32,443,447'), ('2015', '31,717,667'), ('2010', '27,421,461'), ('2005', '23,816,183'), ('2000', '20,663,843'), ('1995', '18,638,787'), ('1990', '16,233,785'), ('1985', '13,118,993'), ('1980', '9,691,476'), ('1975', '7,419,493'), ('1970', '5,836,389'), ('1965', '4,843,635'), ('1960', '4,086,539'), ('1955', '3,558,155'), ('1950', '3,121,335')]"
United Arab Emirates,19.20%,"9,890,402","[('2020', '9,890,402'), ('2019', '9,770,529'), ('2018', '9,630,959'), ('2017', '9,487,203'), ('2016', '9,360,980'), ('2015', '9,262,900'), ('2010', '8,549,988'), ('2005', '4,588,225'), ('2000', '3,134,062'), ('1995', '2,415,090'), ('1990', '1,828,432'), ('1985', '1,366,164'), ('1980', '1,019,509'), ('1975', '548,301'), ('1970', '234,514'), ('1965', '149,857'), ('1960', '92,418'), ('1955', '79,578'), ('1950', '69,588')]"
Chile,27.17%,"19,116,201","[('2020', '19,116,201'), ('2019', '18,952,038'), ('2018', '18,729,160'), ('2017', '18,470,439'), ('2016', '18,209,068'), ('2015', '17,969,353'), ('2010', '17,062,536'), ('2005', '16,182,721'), ('2000', '15,342,353'), ('1995', '14,380,866'), ('1990', '13,274,623'), ('1985', '12,257,236'), ('1980', '11,419,348'), ('1975', '10,592,307'), ('1970', '9,783,134'), ('1965', '8,989,621'), ('1960', '8,132,990'), ('1955', '7,322,652'), ('1950', '6,598,524')]"
Peru,27.18%,"32,971,854","[('2020', '32,971,854'), ('2019', '32,510,453'), ('2018', '31,989,260'), ('2017', '31,444,298'), ('2016', '30,926,032'), ('2015', '30,470,734'), ('2010', '29,027,674'), ('2005', '27,866,145'), ('2000', '26,459,944'), ('1995', '24,299,160'), ('1990', '22,071,433'), ('1985', '19,772,872'), ('1980', '17,547,610'), ('1975', '15,424,744'), ('1970', '13,459,794'), ('1965', '11,711,392'), ('1960', '10,155,015'), ('1955', '8,858,389'), ('1950', '7,777,446')]"
New Zealand,28.07%,"4,822,233","[('2020', '4,822,233'), ('2019', '4,783,063'), ('2018', '4,743,131'), ('2017', '4,702,034'), ('2016', '4,659,265'), ('2015', '4,614,532'), ('2010', '4,370,062'), ('2005', '4,135,355'), ('2000', '3,858,999'), ('1995', '3,674,936'), ('1990', '3,398,172'), ('1985', '3,268,236'), ('1980', '3,146,619'), ('1975', '3,082,633'), ('1970', '2,818,387'), ('1965', '2,626,645'), ('1960', '2,372,594'), ('1955', '2,136,391'), ('1950', '1,908,000')]"
Indonesia,29.29%,"273,523,615","[('2020', '273,523,615'), ('2019', '270,625,568'), ('2018', '267,670,543'), ('2017', '264,650,963'), ('2016', '261,556,381'), ('2015', '258,383,256'), ('2010', '241,834,215'), ('2005', '226,289,470'), ('2000', '211,513,823'), ('1995', '196,934,260'), ('1990', '181,413,402'), ('1985', '164,982,451'), ('1980', '147,447,836'), ('1975', '130,680,727'), ('1970', '114,793,178'), ('1965', '100,267,062'), ('1960', '87,751,068'), ('1955', '77,273,425'), ('1950', '69,543,316')]"
Moldova,28.82%,"4,033,963","[('2020', '4,033,963'), ('2019', '4,043,263'), ('2018', '4,051,944'), ('2017', '4,059,684'), ('2016', '4,066,009'), ('2015', '4,070,700'), ('2010', '4,086,081'), ('2005', '4,159,293'), ('2000', '4,202,658'), ('1995', '4,340,597'), ('1990', '4,365,564'), ('1985', '4,216,249'), ('1980', '4,011,076'), ('1975', '3,840,045'), ('1970', '3,595,555'), ('1965', '3,336,592'), ('1960', '3,004,452'), ('1955', '2,627,012'), ('1950', '2,340,997')]"
Turkey,29.93%,"84,339,067","[('2020', '84,339,067'), ('2019', '83,429,615'), ('2018', '82,340,088'), ('2017', '81,116,450'), ('2016', '79,827,871'), ('2015', '78,529,409'), ('2010', '72,326,988'), ('2005', '67,903,469'), ('2000', '63,240,194'), ('1995', '58,486,456'), ('1990', '53,921,760'), ('1985', '49,133,937'), ('1980', '43,975,971'), ('1975', '39,277,258'), ('1970', '34,876,303'), ('1965', '30,972,994'), ('1960', '27,472,345'), ('1955', '24,270,600'), ('1950', '21,408,399')]"
Cambodia,29.57%,"16,718,965","[('2020', '16,718,965'), ('2019', '16,486,542'), ('2018', '16,249,792'), ('2017', '16,009,409'), ('2016', '15,766,292'), ('2015', '15,521,436'), ('2010', '14,312,212'), ('2005', '13,273,354'), ('2000', '12,155,239'), ('1995', '10,656,138'), ('1990', '8,975,597'), ('1985', '7,714,880'), ('1980', '6,693,764'), ('1975', '7,524,447'), ('1970', '6,996,576'), ('1965', '6,467,197'), ('1960', '5,722,370'), ('1955', '5,045,288'), ('1950', '4,432,714')]"
Iran,30.04%,"83,992,949","[('2020', '83,992,949'), ('2019', '82,913,906'), ('2018', '81,800,188'), ('2017', '80,673,883'), ('2016', '79,563,989'), ('2015', '78,492,215'), ('2010', '73,762,519'), ('2005', '69,762,347'), ('2000', '65,623,405'), ('1995', '61,442,664'), ('1990', '56,366,217'), ('1985', '47,347,186'), ('1980', '38,650,246'), ('1975', '32,729,772'), ('1970', '28,513,866'), ('1965', '24,954,873'), ('1960', '21,906,914'), ('1955', '19,294,127'), ('1950', '17,119,265')]"
Nigeria,30.05%,"206,139,589","[('2020', '206,139,589'), ('2019', '200,963,599'), ('2018', '195,874,683'), ('2017', '190,873,244'), ('2016', '185,960,241'), ('2015', '181,137,448'), ('2010', '158,503,197'), ('2005', '138,865,016'), ('2000', '122,283,850'), ('1995', '107,948,335'), ('1990', '95,212,450'), ('1985', '83,562,785'), ('1980', '73,423,633'), ('1975', '63,374,298'), ('1970', '55,982,144'), ('1965', '50,127,921'), ('1960', '45,138,458'), ('1955', '41,086,100'), ('1950', '37,859,748')]"
Czech Republic,31.57%,"10,708,981","[('2020', '10,708,981'), ('2019', '10,689,209'), ('2018', '10,665,677'), ('2017', '10,641,034'), ('2016', '10,618,857'), ('2015', '10,601,397'), ('2010', '10,536,518'), ('2005', '10,258,167'), ('2000', '10,289,373'), ('1995', '10,358,193'), ('1990', '10,340,875'), ('1985', '10,331,143'), ('1980', '10,349,083'), ('1975', '10,069,955'), ('1970', '9,817,669'), ('1965', '9,811,377'), ('1960', '9,590,174'), ('1955', '9,361,772'), ('1950', '8,902,619')]"
Turkmenistan,30.25%,"6,031,200","[('2020', '6,031,200'), ('2019', '5,942,089'), ('2018', '5,850,901'), ('2017', '5,757,667'), ('2016', '5,662,368'), ('2015', '5,565,287'), ('2010', '5,087,213'), ('2005', '4,754,646'), ('2000', '4,516,133'), ('1995', '4,207,841'), ('1990', '3,683,967'), ('1985', '3,244,018'), ('1980', '2,876,808'), ('1975', '2,525,364'), ('1970', '2,195,175'), ('1965', '1,892,599'), ('1960', '1,603,258'), ('1955', '1,364,635'), ('1950', '1,210,994')]"
Nepal,33.07%,"29,136,808","[('2020', '29,136,808'), ('2019', '28,608,710'), ('2018', '28,095,714'), ('2017', '27,632,681'), ('2016', '27,263,433'), ('2015', '27,015,031'), ('2010', '27,013,212'), ('2005', '25,744,500'), ('2000', '23,941,110'), ('1995', '21,576,071'), ('1990', '18,905,478'), ('1985', '16,858,310'), ('1980', '15,016,402'), ('1975', '13,420,369'), ('1970', '12,074,626'), ('1965', '10,972,912'), ('1960', '10,105,050'), ('1955', '9,316,916'), ('1950', '8,483,325')]"
Guatemala,24.76%,"17,915,568","[('2020', '17,915,568'), ('2019', '17,581,472'), ('2018', '17,247,849'), ('2017', '16,914,970'), ('2016', '16,583,076'), ('2015', '16,252,429'), ('2010', '14,630,417'), ('2005', '13,096,028'), ('2000', '11,650,743'), ('1995', '10,408,489'), ('1990', '9,263,813'), ('1985', '8,240,060'), ('1980', '7,283,459'), ('1975', '6,433,728'), ('1970', '5,621,792'), ('1965', '4,869,716'), ('1960', '4,210,747'), ('1955', '3,625,300'), ('1950', '3,114,957')]"
Iceland,33.13%,"341,243","[('2020', '341,243'), ('2019', '339,031'), ('2018', '336,713'), ('2017', '334,393'), ('2016', '332,206'), ('2015', '330,243'), ('2010', '320,328'), ('2005', '294,979'), ('2000', '280,435'), ('1995', '267,629'), ('1990', '255,043'), ('1985', '241,582'), ('1980', '228,262'), ('1975', '218,070'), ('1970', '204,426'), ('1965', '192,313'), ('1960', '175,592'), ('1955', '157,642'), ('1950', '142,659')]"
Denmark,33.61%,"5,792,202","[('2020', '5,792,202'), ('2019', '5,771,876'), ('2018', '5,752,126'), ('2017', '5,732,274'), ('2016', '5,711,349'), ('2015', '5,688,695'), ('2010', '5,554,844'), ('2005', '5,421,702'), ('2000', '5,341,194'), ('1995', '5,232,704'), ('1990', '5,141,115'), ('1985', '5,114,243'), ('1980', '5,123,945'), ('1975', '5,062,729'), ('1970', '4,931,241'), ('1965', '4,760,460'), ('1960', '4,581,101'), ('1955', '4,440,778'), ('1950', '4,268,271')]"
Lithuania,33.79%,"2,722,289","[('2020', '2,722,289'), ('2019', '2,759,627'), ('2018', '2,801,264'), ('2017', '2,845,414'), ('2016', '2,889,557'), ('2015', '2,931,880'), ('2010', '3,123,816'), ('2005', '3,344,268'), ('2000', '3,501,839'), ('1995', '3,626,612'), ('1990', '3,696,035'), ('1985', '3,562,397'), ('1980', '3,430,760'), ('1975', '3,298,879'), ('1970', '3,136,586'), ('1965', '2,966,165'), ('1960', '2,769,876'), ('1955', '2,628,751'), ('1950', '2,567,403')]"
Taiwan,33.91%,"23,816,775","[('2020', '23,816,775'), ('2019', '23,773,876'), ('2018', '23,726,460'), ('2017', '23,674,546'), ('2016', '23,618,200'), ('2015', '23,557,477'), ('2010', '23,187,551'), ('2005', '22,705,713'), ('2000', '21,966,527'), ('1995', '21,356,033'), ('1990', '20,478,520'), ('1985', '19,303,404'), ('1980', '17,905,458'), ('1975', '16,464,927'), ('1970', '14,924,455'), ('1965', '12,901,155'), ('1960', '10,876,150'), ('1955', '9,189,972'), ('1950', '7,602,361')]"
Bangladesh,34.81%,"164,689,383","[('2020', '164,689,383'), ('2019', '163,046,161'), ('2018', '161,376,708'), ('2017', '159,685,424'), ('2016', '157,977,153'), ('2015', '156,256,276'), ('2010', '147,575,430'), ('2005', '139,035,505'), ('2000', '127,657,854'), ('1995', '115,169,930'), ('1990', '103,171,956'), ('1985', '90,764,183'), ('1980', '79,639,491'), ('1975', '70,066,301'), ('1970', '64,232,482'), ('1965', '55,385,112'), ('1960', '48,013,504'), ('1955', '42,086,301'), ('1950', '37,894,681')]"
Bosnia And Herzegovina,36.34%,"3,280,819","[('2020', '3,280,819'), ('2019', '3,301,000'), ('2018', '3,323,925'), ('2017', '3,351,525'), ('2016', '3,386,266'), ('2015', '3,429,361'), ('2010', '3,705,472'), ('2005', '3,765,331'), ('2000', '3,751,176'), ('1995', '3,829,050'), ('1990', '4,463,423'), ('1985', '4,392,131'), ('1980', '4,179,855'), ('1975', '3,985,105'), ('1970', '3,760,529'), ('1965', '3,535,643'), ('1960', '3,225,668'), ('1955', '2,936,309'), ('1950', '2,661,296')]"
Tanzania,36.57%,"59,734,218","[('2020', '59,734,218'), ('2019', '58,005,463'), ('2018', '56,313,438'), ('2017', '54,660,339'), ('2016', '53,049,230'), ('2015', '51,482,633'), ('2010', '44,346,525'), ('2005', '38,450,320'), ('2000', '33,499,180'), ('1995', '29,649,135'), ('1990', '25,203,845'), ('1985', '21,633,796'), ('1980', '18,538,259'), ('1975', '15,885,229'), ('1970', '13,535,481'), ('1965', '11,634,832'), ('1960', '10,052,152'), ('1955', '8,729,662'), ('1950', '7,649,761')]"
Comoros,35.08%,"869,601","[('2020', '869,601'), ('2019', '850,886'), ('2018', '832,322'), ('2017', '813,892'), ('2016', '795,592'), ('2015', '777,424'), ('2010', '689,692'), ('2005', '611,627'), ('2000', '542,357'), ('1995', '475,394'), ('1990', '411,594'), ('1985', '355,337'), ('1980', '307,829'), ('1975', '257,290'), ('1970', '230,054'), ('1965', '207,424'), ('1960', '191,121'), ('1955', '175,903'), ('1950', '159,459')]"
Haiti,36.23%,"11,402,528","[('2020', '11,402,528'), ('2019', '11,263,077'), ('2018', '11,123,178'), ('2017', '10,982,366'), ('2016', '10,839,970'), ('2015', '10,695,542'), ('2010', '9,949,322'), ('2005', '9,195,288'), ('2000', '8,463,806'), ('1995', '7,744,503'), ('1990', '7,037,917'), ('1985', '6,337,273'), ('1980', '5,643,173'), ('1975', '5,094,577'), ('1970', '4,676,230'), ('1965', '4,258,732'), ('1960', '3,866,159'), ('1955', '3,514,074'), ('1950', '3,221,283')]"
